finaldays,Date,Teams,Side,Opponent,Won,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Pick1,Pick2,Pick3,Pick4,Pick5,Pick6,Ban7,Ban8,Ban9,Ban10,Pick7,Pick8,Pick9,Pick10
-387,2024-09-06T22:01:58.710Z,100 Thieves,blue,FlyQuest,FALSE,Nasus,Rell,Ezreal,Smolder,Kai'Sa,Lillia,Renekton,Ziggs,Leona,Kalista,Senna,Corki,Sejuani,Rumble,Vi,Poppy,Ivern,Zac,Yasuo,Olaf
-245.495,2025-01-26T21:13:52.490Z,100 Thieves,red,Disguised,TRUE,Yone,Skarner,Corki,K'Sante,Kalista,Aurora,Jayce,Ambessa,Varus,Vi,Ezreal,Poppy,Taliyah,Akali,Leona,Nocturne,Viego,Elise,Azir,Galio
-245.495,2025-01-26T22:01:57.351Z,100 Thieves,red,Disguised,TRUE,Yone,K'Sante,Corki,Skarner,Kalista,Ashe,Rumble,Aurora,Miss Fortune,Wukong,Orianna,Rell,Rakan,Riven,Leona,Nocturne,Xin Zhao,Jinx,Braum,Akali
-239.05812500000002,2025-02-02T21:12:15.215Z,100 Thieves,red,Team Liquid,TRUE,Yone,Skarner,Ambessa,K'Sante,Varus,Kalista,Vi,Jayce,Maokai,Rumble,Corki,Poppy,Lulu,Azir,Ashe,Kai'Sa,Ezreal,Nautilus,Aurora,Ornn
-239.05812500000002,2025-02-02T22:05:16.126Z,100 Thieves,red,Team Liquid,FALSE,Yone,Skarner,Ambessa,K'Sante,Akali,Kalista,Varus,Ashe,Sejuani,Azir,Xin Zhao,Sylas,Renata Glasc,Braum,Lulu,Jax,Rakan,Renekton,Pantheon,Gnar
-239.05812500000002,2025-02-02T23:06:53.229Z,100 Thieves,blue,Team Liquid,TRUE,Taliyah,Skarner,Kalista,Yone,Ivern,Akali,K'Sante,Ambessa,Zyra,Kai'Sa,Viktor,Galio,Viego,Lulu,Alistar,Rell,Leona,Elise,Wukong,Jinx
-238.05812500000002,2025-02-03T02:54:51.059Z,100 Thieves,blue,Cloud9,TRUE,Rumble,Skarner,Aurora,Kalista,Jayce,K'Sante,Ambessa,Yone,Sejuani,Poppy,Zyra,Renekton,Kai'Sa,Ziggs,Ezreal,Braum,Varus,Corki,Jax,Leona
-226.05812500000002,2025-02-15T19:12:20.224Z,100 Thieves,blue,Pain Gaming,TRUE,Rumble,Poppy,Ambessa,Jayce,Skarner,Kalista,K'Sante,Varus,Zyra,Sejuani,Yone,Corki,Kai'Sa,Gnar,Ezreal,Jax,Aurora,Ashe,Rakan,Rell
-226.05812500000002,2025-02-15T20:03:06.841Z,100 Thieves,red,Pain Gaming,TRUE,Poppy,Rumble,Jayce,Kalista,Elise,Skarner,Ambessa,Taliyah,Vi,Azir,Ezreal,Kai'Sa,Maokai,Camille,Braum,Nautilus,Pantheon,Alistar,Ivern,Jax
-219.05812500000002,2025-02-22T19:13:41.909Z,100 Thieves,blue,FlyQuest,FALSE,Ivern,Skarner,Cassiopeia,Kalista,Poppy,Yone,Jayce,Varus,Vi,Sejuani,Corki,K'Sante,Ambessa,Taliyah,Pantheon,Aurora,Azir,Rell,Sylas,Braum
-219.05812500000002,2025-02-22T20:02:23.195Z,100 Thieves,red,FlyQuest,TRUE,Aurora,Ivern,Ambessa,Skarner,Pantheon,Kalista,Yone,Poppy,Akali,Zyra,Sion,Gnar,Elise,Wukong,Xayah,Nocturne,Kai'Sa,Ezreal,Leona,Xin Zhao
-219.05812500000002,2025-02-22T21:00:15.688Z,100 Thieves,blue,FlyQuest,TRUE,Ivern,Skarner,Lillia,Kalista,Cassiopeia,Ambessa,Miss Fortune,Pantheon,Jhin,Alistar,Viktor,Orianna,Jarvan IV,Nocturne,Wukong,Urgot,Bard,Maokai,Jax,Garen
-218.05812500000002,2025-02-23T19:16:53.963Z,100 Thieves,blue,Team Liquid,FALSE,Draven,Yone,Varus,Jayce,Taliyah,Kalista,Skarner,K'Sante,Maokai,Gnar,Azir,Ezreal,Kai'Sa,Aurelion Sol,Miss Fortune,Hwei,Ziggs,Corki,Leona,Poppy
